Codice Analisi,Descrizione,Colore provetta,Synlab si/no,U.M.,METODO,Regola,,Importo
020,"(SYNLAB)
Fibrinogeno",,,,,Area 'ANALISI',,"€ 3,93"
,,,,,,,,
4500,Fibromax Test,,,,,Area 'SPECIALISTICA',,"€ 255,64"
3790,Fibronectina (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 16,06"
6224,Fibrotest - Actitest,,,,,Area 'SPECIALISTICA',,"€ 197,77"
6F402,Fico,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6G8,Fienarola dei prati (Poa pratensis),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
13218,Filariasis Antibodies Screening (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 41,17"
IN10324,"FISH - VESCICA CR 3, 7, 9 e 17",,,,,Area 'ANATOMIA PATOLOGICA',,"€ 590,00"
2036,FISH PER SINGOLA REGIONE BERSAGLIO,,,,,Area 'CITOGENETICA',,"€ 838,66"
2090,FISH PER SONDE CENTROMERICHE,,,,,Area 'CITOGENETICA',,"€ 353,81"
2089,FISH PER WHOLE CHROMOSOME PAINTING,,,,,Area 'CITOGENETICA',,"€ 409,50"
403,FLECAINIDE (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
686,Flunitrazepam,,,,,Area 'SPECIALISTICA',,"€ 41,06"
75009,FLUORURI Urine Fine Turno,,,,,Area 'TOSSICOLOGIA',,"€ 23,15"
7509,FLUORURI Urine Inizio Turno,,,,,Area 'TOSSICOLOGIA',,"€ 23,15"
662,FOLATI (IDROSOLUBILE),,,,,Area 'ANALISI',,"€ 9,61"
6G11,Forasacco (Bromus inermis),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6E+5,Forfora di Cane,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6E+3,Forfora di Cavallo,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6E+4,Forfora di Mucca,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F82,Formaggio Fermentato,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F81,Formaggio Molle,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6I70,Formica di fuoco (Solenopsis invicta),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
003,Formula Leucocitaria al microscopio ottico,,,,,Area 'ANALISI',,"€ 4,37"
283,Fosfatasi Acida Totale,,,,,Area 'ANALISI',,"€ 2,40"
282,Fosfatasi Alcalina,,,,,Area 'ANALISI',,"€ 1,75"
2820,Fosfatasi Alcalina Ossea Specifica,,,,,Area 'ANALISI',,"€ 29,27"
1137,Fosfatasi Alcalina Placentare (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 73,16"
2830,Fosfatasi prostatica (PAP),,,,,Area 'ANALISI',,"€ 12,45"
8742,FOSFOETANOLAMMINA Plasmatica (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8743,FOSFOETANOLAMMINA Urinaria (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
328,Fosfolipidi,,,,,Area 'ANALISI',,"€ 6,55"
245,Fosforemia ( P ),,,,,Area 'ANALISI',,"€ 1,75"
2243,Fosforo Urinario su campione estemporaneo,,,,,Area 'ANALISI',,"€ 1,75"
255,Fosforo urine 24 ore (P),,,,,Area 'ANALISI',,"€ 1,75"
6F44,Fragola,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
436,Francisella IgM (Tularemia) (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 18,35"
6T15,Frassino (Fraxinus americana),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
8970,Free beta HCG per BITEST,,,,,Area 'SCREENING PRENATALE',,"€ 28,17"
65140,FREE P.S.A.,,,,,Area 'ANALISI',,"€ 14,63"
2050,Fructosamine test,,,,,Area 'ANALISI',,"€ 6,88"
Codice Analisi,Descrizione,,,,,Regola,,Importo
6F294,Frutto passione,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
615,FSH,,,,,Area 'ANALISI',,"€ 7,32"
6M9,Fusarium Moniliforme,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
IN10067,G.SALIVARE - AGOBIOPSIA GHIANDOLE SALIVARI,,,,,Area 'ANATOMIA PATOLOGICA',,"€ 77,65"
IN10068,G.SALIVARE - ASPORTAZIONE ALLARGATA,,,,,Area 'ANATOMIA PATOLOGICA',,"€ 220,94"
IN10069,"GHIANDOLA SALIVARE
G.SALIVARE - ASPORTAZIONE SEMPLICE GHIANDOLA",,,,,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
,SALIVARE,,,,,,,
IN10070,G.SALIVARE - BIOPSIA GHIANDOLA SALIVARE,,,,,Area 'ANATOMIA PATOLOGICA',,"€ 71,74"
IN10071,G.SALIVARE - NODULECTOMIA GHIANDOLA SALIVARE,,,,,Area 'ANATOMIA PATOLOGICA',,"€ 118,63"
044,G-6-PDH Eritrocitaria,,,,,Area 'ANALISI',,"€ 10,16"
363,GABAPENTINA (Neurontina),,,,,Area 'SPECIALISTICA',,"€ 127,55"
5F426,Gad c1 Gadus morhua,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5F233,"Gal d1, Ovomucoide Gallus domesticus",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5F232,"Gal d2,  Ovoalbumina Gallus domesticus",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K208,Gal d4 Gallus spp.,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
474,Galactose 1 Phosphatase Uridyl Transferase (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 45,76"
5O215,"Galactose-alpha-1,3-Gal (alpha-Gal)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6F24,Gambero,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F320,Gambero acquadolce,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
285,GAMMA GT,,,,,Area 'ANALISI',,"€ 1,75"
655,Gastrina,,,,,Area 'ANALISI',,"€ 13,00"
8751,GASTRO PGx - Pannello farmacogenetica per farmaci gastrici,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 491,40"
6550,GASTROPROFILE,,,,,Area 'SPECIALISTICA',,"€ 146,22"
6T70,Gelso bianco (Morus Alba),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
8358,"Gene ABCB1: ricerca delle variazioni 3435T/C, 1236T/C e 2677T-A/G",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 76,44"
8363,Gene ApoB: ricerca della variazione R3500Q,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8366,Gene ApoE: genotipizzazione E2-E3-E4,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8407,GENE CFTR: ANALISI MIRATA DI SINGOLA REGIONE NOTA DEL GENE,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 87,36"
8379,Gene CYP2C19: ricerca delle variazioni *2 e *3,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 65,52"
8380,Gene CYP2C9: ricerca delle variazioni *2 e *3,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
1636,GENE CYP2D6 : ricerca di variazioni note,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 131,04"
6308,Gene DMD: Ricerca di delezioni nel gene DMD (Distrofia,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 163,80"
60540,"muscolare di Duchenne)
Gene Fattore V: ricerca della mutazione G1691A (detta di",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
1274,"Leiden)
Gene Fattore V: ricerca della mutazione H1299R (detta",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
,HR2),,,,,,,
8403,Gene Fattore V: ricerca della mutazione Y1702C,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8404,Gene Fattore VII: ricerca della mutazione R353Q,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8401,Gene Fattore XII: ricerca della mutazione C46T,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8402,Gene Fattore XIII: ricerca della mutazione V34L,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8410,Gene FIBRB (fibrinogeno beta): ricerca della mutazione -,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
488,"455G>A
GENE FMR1: ANALISI DI PREMUTAZ. E MUTAZ.",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 98,28"
,"COMPLETA (X-FRAGILE E PAT. ASSOCIATE A
PREMUTAZ.)",,,,,,,
8415,Gene FSHR: ricerca delle variazioni T307A e N680S,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8418,Gene GPIa: ricerca della variazione C807T,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8193,Gene GPIIIa : ricerca della variazione HPA 1a/1b,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
1262,GENE JAK2: variante p.(V617F) - Analisi qualitativa,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 131,04"
8454,GENE JAK2: variante p.(V617F) - Analisi quantitativa,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 283,92"
8463,Gene LHB: ricerca della variazione p.I35T (rs34349826),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8462,Gene LHB: ricerca della variazione p.W28R (rs1800447),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8464,Gene LHCGR: ricerca della mutazione R554X (rs121912524),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
8472,Gene MMP9: ricerca della variazione rs3918242,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
1051,Gene PAI-1 RICERCA DELLA MUTAZIONE 4G/5G,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
2069,"GENE PTEN : diagnosi molecolare delle sindromi di Cowden,Bannayan-Riley-Ruvalcaba e Lhermitte-Duclos",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 1.412,61"
8783,Gene SHOX : ricerca di delezioni e duplicazioni nel gene,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 296,40"
8505,Gene SMN1: Ricerca di delezioni responsabili di atrofia muscolare spinale (SMA),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 131,04"
8486,Gene TP53: sequenziamento completo,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 315,59"
2084,Gene TPMT : ricerca aplotipi responsabili di tossicità alle,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 156,00"
8779,"tiopurine
Gene UGT1A1: ricerca polimorfismi associati alla tossicità",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 208,00"
,a irinotecano,,,,,,,
8519,Gene VKORC: ricerca della variazione C1173T,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 65,52"
8518,Gene VKORC: ricerca della variazione G-1639A,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 65,52"
8520,Gene VKORC: ricerca della variazione G3730A,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 65,52"
6955,Gentamicina,,,,,Area 'SPECIALISTICA',,"€ 32,10"
1569,GHB test di conferma su urine,,,,,Area 'TOSSICOLOGIA',,"€ 120,12"
1568,GHB test di screening su urine- valenza medico legale,,,,,Area 'TOSSICOLOGIA',,"€ 10,70"
6I3,Giallone (Vespula spp),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6201,Giardia Ag ricerca diretta,,,,,Area 'SPECIALISTICA',,"€ 16,93"
6T6,Ginepro (Juniperus Sabinoides),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1638,GLDH (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 28,17"
5F98,Gliadina Triticum aestivum,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
200,Glicemia,,,,,Area 'ANALISI',,"€ 1,75"
Codice Analisi,Descrizione,,,,,Regola,,Importo
201,Glicemia Post Prandiale,,,,,Area 'ANALISI',,"€ 1,97"
826,GLICINA Plasmatica (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8261,GLICINA Urinaria (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
526,GLICOSAMMINOGLICANI (MUCOPOLISACCARIDI) (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 220,92"
206,Glicosuria,,,,,Area 'ANALISI',,"€ 1,97"
207,Glicosuria Frazionata,,,,,Area 'ANALISI',,"€ 7,43"
6521,Glucagone (SYNLAB),,,,,Area 'ANALISI',,"€ 62,80"
2204,GLUTAMMATO DEIDROGENASI (CLOSTRIDIUM,,,,,Area 'MICROBIOLOGIA',,"€ 15,20"
2205,"DIFFICILE GDH)
GLUTAMMATO DEIDROGENASI (CLOSTRIDIUM",,,,,Area 'MICROBIOLOGIA',,"€ 15,20"
2206,"DIFFICILE GDH) II camp.
GLUTAMMATO DEIDROGENASI (CLOSTRIDIUM",,,,,Area 'MICROBIOLOGIA',,"€ 15,20"
,DIFFICILE GDH) III camp.,,,,,,,
818,GLUTAMMINA Plasmatica (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8180,Glutammina Urinaria (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
6615,Glutatione Perossidasi (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 40,40"
2264,Glutatione Sangue Intero,,,,,Area 'TOSSICOLOGIA',,"€ 40,52"
6F79,Glutine,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
5F431,Gly m5 Glycine max,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5F432,Gly m6 Glycine max,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6D73,Glycyphagus Domesticus,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6G2,Gramigna rossa (Cynodon dactylon),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F23,Granchio,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F4,Grano (Frumento),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F11,Grano Saraceno,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6G15,Grano tenero (Triticum aestivum),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6G202,Granoturco (Zea mays),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1261,Grelina (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 99,00"
023,Gruppo e fattore Rh,,,,,Area 'ANALISI',,"€ 28,07"
6540,H.G.H. (Ormone Somatotropo),,,,,Area 'ANALISI',,"€ 14,09"
654,H.G.H. 6 Dosaggi seriati,,,,,Area 'ANALISI',,"€ 33,75"
6F303,HALIBUT (HIPPOGLOSSUS STENOLEVIS),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6090,HBcAb IgM A BASSO TITOLO,,,,,Area 'ANALISI',,"€ 53,62"
603,HBeAb (Anticorpi anti-HBeAg) (Markers Epatite B),,,,,Area 'ANALISI',,"€ 9,61"
602,HBeAg (Markers Epatite B),,,,,Area 'ANALISI',,"€ 9,61"
6011,HBsAb (Anticorpi anti-HBsAg),,,,,Area 'ANALISI',,"€ 9,61"
600,HBsAg (Antigene Au) Markers Epatite B,,,,,Area 'ANALISI',,"€ 6,23"
1170,HBsAg (Antigene di superficie virus epat. B) Quantitativo,,,,,Area 'ANALISI',,"€ 33,75"
6001,HBsAg TEST DI CONFERMA,,,,,Area 'ANALISI',,"€ 14,20"
1099,HBV DNA GENOTIPO (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 134,97"
6180,HCG TOTALE Plasmatica,,,,,Area 'ANALISI',,"€ 10,70"
6050,HCV - R.I.B.A. (Western Blot),,,,,Area 'SPECIALISTICA',,"€ 201,92"
2289,HCV REFLEX,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 87,36"
60520,HCV RNA Genotipo,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 87,36"
60510,HCV RNA Qualitativo (PCR),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 76,44"
60530,HCV RNA Quantitativo,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 87,36"
6323,He4 (Ovarian Cancer Marker),,,,,Area 'ANALISI',,"€ 101,23"
1139,"HELICOBACTER PYLORI IgA - WESTERN BLOT (Test di
conferma)",,,,,Area 'SPECIALISTICA',,"€ 50,67"
1138,Helicobacter Pylori IgA Screening,,,,,Area 'SPECIALISTICA',,"€ 28,17"
4597,"HELICOBACTER PYLORI IgG - WESTERN BLOT (Test di
conferma)",,,,,Area 'SPECIALISTICA',,"€ 72,00"
6M8,Helminthosporium halodes,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
438,Hemopexin (Emopessina) (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 16,06"
645,HERPES VIRUS 8 DNA,,,,,Area 'SPECIALISTICA',,"€ 100,00"
5K220,Hev b 6.02 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K215,Hev b1 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K224,Hev b11 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K217,Hev b3 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K218,Hev b5 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5K221,Hev b8 Hevea brasiliensis,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
60071,HHV-6 DNA  (Human Herpes virus 6),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 98,28"
66590,Histamine Urinary (SYNLAB) (Istamina urinaria),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 68,69"
60131,HIV 1 RNA Quantitativo,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 98,28"
6013C,HIV 1 RNA resistenza ai farmaci (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 674,86"
1671,HIV DUO ULTRA,,,,,Area 'SPECIALISTICA',,"€ 37,13"
1672,HIV1/HIV2 RIBA (Test di conferma),,,,,Area 'SPECIALISTICA',,"€ 102,96"
60125,HLA MORBO CELIACO DQ2 - DQ8,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 76,44"
60115,HLA Tipizzazione classe I (Loci A-B-C),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 382,20"
60119,HLA Tipizzazione Classe II (loci DRB1 - DQB1),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 218,40"
60114,"HLA Tipizzazione completa (loci A-B-C, DRB1-DQB1)",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 491,40"
60121,HLA-B27 RICERCA MOLECOLARE,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 65,52"
1218,HLA-G : ricerca molecolare della mutazione -725C/G e,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 131,04"
1078,"della inserzione/delezione di 14bp
HPV DNA RICERCA E TIPIZZAZIONE DI CEPPI AD ALTO",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 49,14"
8443,"E BASSO RISCHIO ONCOGENO
HPV DNA RICERCA E TIPIZZAZIONE DI CEPPI AD ALTO",,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 49,14"
,RISCHIO ONCOGENO,,,,,,,
IN10298,HR HPV RNA di Papilloma Virus,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 49,14"
Codice Analisi,Descrizione,,,,,Regola,,Importo
IN10310,HR-HPV COMPLETO DNA+RNA,,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 135,20"
60070,HSV-1/HSV-2 DNA  (Herpes Simplex virus 1-2),,,,,Area 'BIOLOGIA MOLECOLARE',,"€ 54,60"
6420,I.G.F. BP-3,,,,,Area 'ANALISI',,"€ 56,24"
632,Idrossiprolina urine 24 H,,,,,Area 'SPECIALISTICA',,"€ 17,25"
878,IgA su liquor (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 16,06"
1147,IgA-1 (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 78,74"
1148,IgA-2 (SYNLAB),,,,,Area 'SPECIALISTICA GRUPPO',,"€ 78,74"
665,IgE PRIST (IgE totali),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6C7,IgE Specifiche : Cefaclor,,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F313,IgG specifiche : ACCIUGA (Engraulis encrasicolus) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F47,IgG specifiche : AGLIO (Allium sativum) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F237,IgG specifiche : ALBICOCCA (Prunus armeniaca),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F278,"(INTOLLERANZA)
IgG specifiche : ALLORO (FOGLIA)(Laurus nobilis)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F202,"(INTOLLERANZA)
IgG specifiche : ANACARDO (Anacardium occidentale)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F210,"(INTOLLERANZA)
IgG specifiche : ANANAS (Ananas comosus)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F329,"(INTOLLERANZA)
IgG specifiche : ANGURIA (Citullus lanatus)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F271,"(INTOLLERANZA)
IgG specifiche : ANICE (Pimpinella anisum)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F13,"(INTOLLERANZA)
IgG specifiche : ARACHIDE (Arachis hypogaea)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F33,"(INTOLLERANZA)
IgG specifiche : ARANCIA (Citrus sinensis)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F205,"(INTOLLERANZA)
IgG specifiche : ARINGA (Clupea harengus)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F261,"(INTOLLERANZA)
IgG specifiche : ASPARAGO (Asparagus officinalis)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F80,"(INTOLLERANZA)
IgG specifiche : ASTICE (Homarus americanus)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
,(INTOLLERANZA),,,,,,,
7F7,IgG specifiche : AVENA (Avena sativa) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F96,IgG specifiche : AVOCADO (Persea americana) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F92,IgG specifiche : BANANA (Musa spp) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F269,IgG specifiche : BASILICO (Ocimum basilicum),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F1,"(INTOLLERANZA)
IgG specifiche : BIANCO D'UOVO (Albume)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F260,"(INTOLLERANZA)
IgG specifiche : BROCCOLI (Brassica oleracea var",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F93,"cultivar) (INTOLLERANZA)
IgG specifiche : CACAO (Theobroma cacao)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
,(INTOLLERANZA),,,,,,,
7F301,IgG specifiche : CACO (Diospyrus kaki) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F221,IgG specifiche : CAFFE' (Coffea spp) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F258,IgG specifiche : CALAMARO (Loligo spp),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F220,"(INTOLLERANZA)
IgG specifiche : CANNELLA (Cinnamomum verum)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F338,"(INTOLLERANZA)
IgG specifiche : CAPASANTA (Pecten spp)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F358,"(INTOLLERANZA)
IgG specifiche : CARCIOFO (Cynara scolymus)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F88,"(INTOLLERANZA)
IgG specifiche : CARNE DI AGNELLO (Ovis aries)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F27,"(INTOLLERANZA)
IgG specifiche : CARNE DI BUE (Bos spp)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F213,"(INTOLLERANZA)
IgG specifiche : CARNE DI CONIGLIO (Oryctolagus spp)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F26,"(INTOLLERANZA)
IgG specifiche : CARNE DI MAIALE (Sus scrofa)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F83,"(INTOLLERANZA)
IgG specifiche : CARNE DI POLLO (Gallus gallus",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F284,"domesticus) (INTOLLERANZA)
IgG specifiche : CARNE DI TACCHINO (Meleagris",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F31,"gallopavo) (INTOLLERANZA)
IgG specifiche : CAROTA (Daucus carota)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
,(INTOLLERANZA),,,,,,,
7F78,IgG specifiche : CASEINA (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F299,IgG specifiche : CASTAGNA (Castanea spp),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F291,"(INTOLLERANZA)
IgG specifiche : CAVOLFIORE (Brassica oleracea var",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F217,"botrytis) (INTOLLERANZA)
IgG specifiche : CAVOLINO BRUXELLES (Brassica",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F216,"oleracea var gemmifera) (INTOLLERANZA)
IgG specifiche : CAVOLO (Brassica oleracea var capitata)",,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
,(INTOLLERANZA),,,,,,,
7F309,IgG specifiche : CECI (Cicer arietinum) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F244,IgG specifiche : CETRIOLO (Cucumis sativus) (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F212,IgG specifiche : CHAMPIGNON (INTOLLERANZA),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7F242,IgG specifiche : CILIEGIA (Prunus avium),,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
